,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
28,0.84460227,-15.029825,28.85707039,4.92429258,0.5,-7.3263625,-3.66318125,30.69898618,52.3752515,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Forward,Light
29,0.93770286,-15.2980375,33.55547566,6.47067818,0.6,-8.0225625,-4.8135375,18.33582032,76.97879222,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Reverse,Light
30,0.97761215,-14.52931875,61.66134712,11.7736275,0.76,-11.5242125,-8.758401500000002,9.32962069,225.92305706,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,f,Forward,Light
31,0.98388311,-14.49641875,58.50148328,11.21647903,0.7,-11.9199125,-8.34393875,8.64847498,589.64110308,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS329.JV_JS329-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,f,Reverse,Light
32,0.76559425,-14.981275,53.5556519,8.25730239,0.52,-11.81270625,-6.14260725,11.91273652,168.01745171,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Forward,Light
33,0.78527988,-15.04145625,54.68322988999999,8.68268316,0.54,-11.9612,-6.459048,11.71986061,252.63718255,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,a,Reverse,Light
34,0.9708493,-14.13973125,62.80296312,11.58933593,0.72,-11.9740375,-8.621307,10.3623386,251.6827142,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Forward,Light
35,0.98146986,-13.97680625,59.17518947,10.91214209,0.68,-11.9375625,-8.1175425,8.98454535,1018.02302607,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,b,Reverse,Light
36,0.99669134,-14.74840625,64.53004705,12.75126294,0.76,-12.4811375,-9.4856645,8.87473344,274.65084946,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Forward,Light
37,1.00166081,-14.604125,61.029875440000005,12.00118548,0.7,-12.75383125,-8.927681875,7.81729458,947.3613449,../qnXLnxCDRLyJTQy82lJF7Q/HZB_IJP_BL_12_1_C-JS331.JV_JS331-F.jv.txt,qnXLnxCDRLyJTQy82lJF7Q,w,c,Reverse,Light
