,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
45,1.070687,-21.499513,72.771519,16.751456,0.86,-19.478438,-16.75145668,0.005476,1.248521,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
46,1.068618,-22.379963,79.134876,18.925605,0.9,-21.02845,-18.925605,0.004392,4.243844,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
47,1.068217,-22.3798,75.557625,18.063166,0.88,-20.526325,-18.063166,0.004832,4.067193,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
48,0.04915,-12.523631,24.147141,0.148634,0.02,-7.431681,-0.14863362,0.003933,0.004079,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
49,0.049101,-12.539044,24.097825,0.148367,0.02,-7.418325,-0.1483665,0.003924,0.004077,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
50,0.804538,-21.815256,41.600555,7.301401,0.54,-13.521113,-7.30140102,0.01148,0.075534,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Reverse,Light
51,0.791389,-21.771925,38.722495,6.671906,0.5,-13.343813,-6.6719065,0.009786,0.072294,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Forward,Light
52,1.068436,-22.083556,78.863893,18.607826,0.9,-20.675362,-18.6078258,0.004345,7.564714,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
53,1.068757,-22.083088,74.79346,17.652349,0.88,-20.059487,-17.65234856,0.004845,10.756303,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
54,1.063474,-21.094256,78.854266,17.689534,0.9,-19.655037,-17.6895333,0.004371,4.649698,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Reverse,Light
55,1.06337,-21.104225,75.42545000000001,16.926679,0.88,-19.234862,-16.92667856,0.004699,6.566797,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-5.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Forward,Light
